ticket_id,customer_id,issue_type,severity,resolution_time_hrs,date
84,15690939,Complaint,Medium,48.5,2026/07/31
85,15629551,loginn issue,Medium,19.6,2025/10/09
86,15646302,Card Problem,Medium,26.3,2026/07/11
87,15580227,App Bug,Medium,26.6,2026/07/25
88,15570002,Payment Failure,Medium,30.8,2025/11/29
89,15684196,Fraud Alert,Critical,2.2,2026/06/03
90,15762928,Complaint,Low,62.4,2026/01/06
91,15720649,Account Update,Low,53.1,2025/11/25
92,15568878,Complaint,Medium,19.1,2026/04/27
93,15606386,Loan Query,Medium,36.4,2026/03/16
94,15700696,Card Problem,High,5.3,2026/01/19
95,15704442,Fraud Alert,Critical,0.6,2026/07/27
96,15650933,Fraud Alert,Low,53.8,2026/08/21
97,15735106,Loan Query,Low,72.9,2026/06/15
98,15568240,App Bug,Critical,1.8,2025/12/24
99,15716082,Card Problem,Low,75.7,2026/08/19
100,15701524,App Bug,High,,2026/02/16
101,15691950,Complaint,Medium,25.2,2025/10/01
102,15627365,Login Issue,Medium,22.2,2025/12/29
103,15690440,Loan Query,Low,96.7,2025/09/19
104,15766686,Login Issue,LOW,78.9,2026/02/11
105,15772363,Loan Query,Medium,19.3,2026/03/27
106,15750243,Payment Failure,Low,75.7,2026/01/18
107,15768095,Complaint,Critical,2.3,2025/10/06
108,15718057,Login Issue,Low,75.0,2025/12/20
109,15621685,Login Issue,Low,129.4,2026/06/20
110,15572356,Card Problem,Low,67.3,2026/02/11
111,15743153,Payment Failure,Medium,17.9,2025/12/20
112,15807473,Login Issue,Medium,6.0,2026/08/04
113,15711834,Login Issue,Low,112.6,2026/05/16
114,15568164,App Bug,Low,98.1,2026/03/24
115,15798615,Card Problem,Low,-5.0,2026/07/29
116,15726313,App Bug,Low  ,19.8,2026/04/25
117,15634551,Complaint,Low,70.5,2025/11/15
118,15800814,Account Update,High,6.6,2026/01/16
119,15715047,Account Update,Low,49.8,2025/11/13
120,15797686,App Bug,High,6.5,2026/01/07
121,15632538,Payment Failure, Medium ,23.3,2026/06/17
122,15782659,Fraud Alert,High,,2026/06/05
123,15742824,Fraud Alert,Low,24.7,2026/01/15
124,15624180,Card Problem,Medium,23.3,2026/06/29
125,15805909,Loan Query,Medium,30.2,2026/04/10
126,15774127,Fraud Alert,High,6.2,2026/06/28
127,15714680,Account Update,Low,103.0,2026/03/26
128,15642093,Payment Failure,Low,19.9,2026/03/07
129,15598700,App Bug,Critical,1.8,2025/12/24
130,15598884,Payment Failure,Medium,15.5,2025/11/12
131,15698246,Login Issue,Medium,,2026/05/21
132,15630113,Account Update,Medium,20.4,2026/05/13
133,15669516,App Bug,Critical,1.9,2025/10/19
134,15730038,Fraud Alert,Low,117.1,2025/09/27
135,15624611,Fraud Alert,Medium,15.1,2025/10/29
136,15682528,Loan Query,Critical,1.8,2025/11/20
137,15804357,App Bug,Low,45.2,2026/07/21
138,15711602,Account Update,Low,88.3,2025/11/23
139,15740557,Payment Failure,High,6.9,2026/08/17
140,15667190,Account Update,High,7.1,2026/04/07
141,15809777,Fraud Alert,Low,114.8,2026/07/05
142,15678201,loginn issue,Critical,1.3,2025/10/05
143,15798824,Payment Failure,Low,67.1,2026/03/19
144,15753549,Login Issue,High,0.5,2026/03/17
145,15794048,,Medium,20.1,2026/07/05
146,15649136,Payment Failure,Medium,33.0,2026/04/30
147,15623644,Account Update,Low,24.9,2026/05/31
148,15813095,Payment Failure,Medium,13.1,2026/01/09
149,15589428,Login Issue,Medium,16.8,2026/06/13
150,15677796,Login Issue,Medium,19.1,2025/09/08
151,15686936,Login Issue,Low,57.0,2026/08/17
152,15633546,Complaint,Low,113.2,2025/10/31
153,15727059,Login Issue,High,4.3,2026/08/18
154,15722350,Login Issue,Medium,7.2,2026/06/04
155,15623196,Account Update,Low,90.0,2026/01/17
156,15619857,Payment Failure,High,7.4,2026/07/28
157,15636423,App Bug,Critical,1.5,2026/02/24
158,15726776,Login Issue,Low,60.4,2025/10/30
159,15797065,Payment Failure,Low,98.0,2026/01/31
160,15585839,Card Problem,Critical,1.2,2026/04/13
161,15667451,Fraud Alert,Low,34.1,2025/11/22
162,15792222,Payment Failure,Low  ,96.9,2026/04/23
163,15698184,Loan Query,Low,103.3,2025/09/04
164,15711219,Payment Failure,Low,60.8,2026/01/15
165,15773779,Complaint,Critical,1.5,2026/05/17
166,15797595,Card Problem,Low,87.1,2025/12/03
167,15787071,Account Update,Low,74.9,2026/05/20
168,15629846,,Low,19.5,2025/10/27
169,15674110,Complaint,High,5.3,2026/07/20
170,15778934,Payment Failure,Medium,43.0,2026/02/02
171,15596165,Login Issue,Low,75.8,2026/07/27
172,15587311,Complaint,High,9.4,2026/05/20
173,15625501,App Bug,High,8.1,2026/07/11
174,15791174,Payment Failure,Low,56.8,2025/12/13
175,15715031,Fraud Alert,High,8.3,2025/11/20
176,15718843,Card Problem,Critical,2.4,2026/03/13
177,15738835,Card Problem,Medium,13.0,2025/11/24
178,15624755,Login Issue,Medium,30.6,2026/06/06
179,15810010,Card Problem,Medium,27.8,2026/06/01
180,15724336,Loan Query,Critical,2.7,2025/09/03
181,15569266,Card Problem,Medium,13.2,2026/07/06
182,15568120,Complaint,Critical,0.8,2026/02/15
183,15716134,Login Issue,Low,84.8,2026/05/11
184,15701301,Fraud Alert, Low ,77.4,2025/09/12
185,15662294,Loan Query,Low,94.8,2025/10/30
186,15791991,Complaint,Medium,33.0,2026/03/07
187,15580682,Fraud Alert,Critical,,2026/02/07
188,15600974,Loan Query,Medium,20.3,2026/01/03
189,15692132,Complaint,Low,103.7,2025/10/02
190,15608541,Payment Failure,Medium,,2026/01/04
191,15812210,Account Update,High,4.7,2026/06/20
192,15703399,Fraud Alert,Low,118.0,2025/10/13
193,15584190,Loan Query,Low,68.5,2025/10/16
194,15785831,Fraud Alert,Medium,22.4,2026/05/09
195,15721504,Loan Query,Low,72.8,2025/10/08
196,15664150,Complaint,Low,78.8,2026/06/02
197,15711062,Card Problem,Low,42.9,2025/11/06
198,15641604,Loan Query,Medium,19.0,2025/11/07
199,15743153,Payment Failure,Low,71.3,2026/08/06
200,15776518,App Bug,High,8.0,2026/05/04
201,15656901,Fraud Alert,High,5.2,2026/06/11
202,15694566,Account Update,Low,69.8,2025/11/26
203,15641575,Complaint,Low,49.0,2026/01/16
204,15789097,,High,6.0,2026/05/31
205,15671172,Login Issue,Critical,99999.0,2026/07/10
206,15589572,Payment Failure,Critical,1.7,2026/04/07
207,15718465,Login Issue,Medium,43.9,2025/12/20
208,15711455,,Medium,29.7,2026/06/06
209,15683027,Card Problem,High,8.0,2026/08/22
210,15757759,Complaint,Low,71.6,2025/12/14
211,15615624,Loan Query,low,123.5,2026/09/03
212,15727408,Loan Query,Medium,17.1,2026/02/09
213,15641575,Fraud Alert,Critical,3.1,2026/03/26
214,15706268,Login Issue,Medium,27.9,2026/08/12
215,15671591,Login Issue,High,1.6,2026/08/01
216,15698184,App Bug,Medium,35.2,2026/03/13
217,15797065,Loan Query,Medium  ,13.5,2026/04/15
218,15685243,App Bug,Low,51.0,2026/05/25
219,15649508,Card Problem,High,4.5,2026/04/22
220,15788775,Login Issue,Critical,0.9,2025/11/03
221,15574169,Login Issue,Low,113.6,2026/01/07
222,15610156,Loan Query,Medium,29.9,2025/12/27
223,15772573,Payment Failure,Medium,33.5,2025/10/05
224,15605737,App Bug,Low,53.1,2026/02/23
225,15691287,Account Update,Medium,24.3,2025/09/13
226,15608701,Account Update,Low,22.1,2026/07/01
227,15706904,Complaint,Medium,28.8,2026/06/13
228,15701319,App Bug,Medium,31.4,2025/12/29
229,15573741,Payment Failure,Low,61.9,2026/07/01
230,15660390,App Bug,High,8.6,2025/12/24
231,15778025,Complaint,Low,121.0,2025/09/06
232,15671334,App Bug,Critical,1.0,2025/10/09
233,15813168,App Bug,Medium,36.2,2026/08/31
234,15738291,Payment Failure,Low,128.5,2026/07/23
235,15669957,Account Update,Low,141.9,2025/10/03
236,15687329,Payment Failure,High,0.7,2025/12/29
237,15667190,Complaint,Medium,13.7,2025/10/07
238,15784280,Fraud Alert,Low,,2025/09/19
239,15807709,App Bug,Critical,3.3,2026/02/19
240,15750410,Fraud Alert,Medium,28.0,2025/10/09
241,15646196,App Bug,High,5.9,2026/05/24
242,15715920,Loan Query,High,7.9,2026/01/02
243,15674991,Account Update,Low,70.1,2026/01/23
244,15701439,Account Update,High,,2026/08/11
245,15780038,Complaint,Low,81.4,2026/05/09
246,15802823,Card Problem,Low,75.0,2025/12/21
247,15733119,Loan Query,High,,2026/06/06
248,15590683,Account Update,Low,69.0,2025/11/09
249,15640686,Loan Query,Medium,12.2,2026/06/22
250,15806332,Loan Query,Low,27.8,2026/06/25
251,15718039,Account Update,Critical,,2026/05/03
252,15716186,Loan Query,High,7.9,2026/01/05
253,15674551,Account Update,Medium,29.0,2026/05/03
254,15701319,Complaint,Low,56.8,2026/03/30
255,15717138,Payment Failure,High,5.8,2025/12/09
256,15743673,Loan Query,Low,58.0,2025/10/21
257,15585466,Card Problem,Medium,31.9,2025/10/22
258,15798200,Account Update,Medium,37.8,2026/08/06
259,15810485,Card Problem,Low,100.6,2026/04/11
260,15794849,,Medium,13.8,2026/03/03
261,15798906,Complaint,High,3.5,2026/04/07
262,15773098,App Bug,Critical,2.6,2026/04/01
263,15686909,Login Issue,High,5.8,2026/04/30
264,15720511,Complaint,Critical,2.2,2025/09/30
265,15756538,,Low,126.1,2026/08/13
266,15677052,App Bug,Low,74.7,2026/08/03
267,15714485,Card Problem, Medium ,19.7,2026/07/30
268,15636572,Account Update,Critical,,2025/10/23
269,15801915,Account Update,Low,89.0,2025/10/04
270,15770345,Fraud Alert,High,9.5,2026/03/28
271,15738224,Fraud Alert,Low,93.7,2026/02/23
272,15690743,Payment Failure,Medium,15.5,2025/10/28
273,15642394,Account Update,Low,21.9,2026/01/08
274,15704053,Fraud Alert,Low,-5.0,2025/12/10
275,15655360,Loan Query,Critical,1.8,2025/12/09
276,15704014,Account Update,High,4.4,2026/06/04
277,15604813,App Bug,HIGH,6.8,2026/04/20
278,15600692,Fraud Alert, Low ,109.1,2025/11/13
279,15671514,Loan Query,Medium,11.4,2026/04/07
280,15566708,Account Update,Low,63.9,2025/12/05
281,15793343,Card Problem,Medium,10.6,2026/01/23
282,15664432,Fraud Alert,Medium,30.9,2026/04/27
283,15643359,App Bug,Low,-5.0,2026/01/08
284,15715527,Fraud Alert,Medium,16.1,2025/10/11
285,15608408,Card Problem,HIGH,6.1,2026/04/17
286,15661745,Account Update,Medium,23.1,2026/06/11
287,15579262,Fraud Alert,Low,66.3,2025/10/23
288,15583680,Account Update,Medium,34.1,2025/09/28
289,15753110,Payment Failure,Critical,2.1,2026/08/02
290,15804017,App Bug,Low,65.6,2026/06/06
291,15662532,App Bug,Critical,1.0,2025/09/10
292,15652289,Card Problem,Critical,1.1,2025/10/20
293,15578251,Card Problem,High,5.4,2026/01/02
294,15731890,App Bug,Low,70.6,2025/11/27
295,15598802,Fraud Alert,Low,22.7,2026/03/30
296,15727868,Loan Query,High,3.4,2026/05/09
297,15777958,Card Problem,Medium,20.2,2026/05/07
298,15641835,App Bug,Low,113.5,2025/12/21
299,15776454,Card Problem,Medium,25.9,2026/03/27
300,15581295,Payment Failure,Critical,2.9,2025/10/03
301,15623966,Card Problem,High,6.9,2025/11/26
302,15660679,Loan Query,Medium,22.7,2026/03/16
303,15771323,Complaint,critical,3.3,2025/09/04
304,15590637,Login Issue,High,,2026/03/21
305,15568573,Loan Query,Low,96.6,2026/01/16
306,15686936,Login Issue,High,3.4,2026/04/23
307,15720284,Loan Query,Low,59.7,2026/01/27
308,15625592,Fraud Alert,Medium,18.0,2026/04/07
309,15630321,Complaint,Critical,2.1,2026/08/25
310,15770345,Payment Failure,High,5.6,2026/06/14
311,15591357,Loan Query,High,6.5,2026/08/07
312,15664555,Card Problem,Critical,1.5,2026/05/10
313,15617434,Login Issue,Medium,31.3,2025/11/21
314,15795878,Account Update,Low,71.9,2025/12/09
315,15703820,Card Problem,Low,101.2,2026/02/01
316,15810800,Loan Query,High,7.0,2025/12/23
317,15647890,Login Issue,Low,78.8,2025/10/02
318,15792151,App Bug,High,6.7,2026/06/26
319,15787602,Complaint,Low,94.8,2026/06/07
320,15568834,Loan Query,High,12.5,2025/10/04
321,15622911,Login Issue,Critical,1.0,2026/02/10
322,15744717,loginn issue,Critical,0.6,2025/10/02
323,15662574,Payment Failure,Medium,25.9,2025/09/28
324,15630661,Card Problem,Low,96.0,2026/06/29
325,15737104,Payment Failure,Low,48.7,2026/05/05
326,15727317,Fraud Alert,Low,96.4,2026/05/18
327,15577700,Complaint,low,,2026/06/01
328,15764431,Login Issue,Low,85.4,2025/11/22
329,15730830,Card Problem,Medium,24.4,2025/10/02
330,15771086,,Low,59.3,2026/05/21
331,15646091,App Bug,Medium,29.9,2025/10/14
332,15585839,App Bug,Low,108.8,2025/12/07
333,15569641,Card Problem,High,5.6,2025/10/08
334,15633525,Payment Failure,High,4.5,2026/07/04
335,15787204,Payment Failure,Critical,2.4,2025/10/07
336,15574830,Login Issue,Medium,5.1,2026/08/14
337,15805627,Fraud Alert,Medium,23.3,2026/01/01
338,15571121,Card Problem,Medium,8.3,2026/03/28
339,15601569,Account Update,Medium,16.5,2025/11/03
340,15743498,App Bug,Low,56.6,2026/06/21
341,15627190,Fraud Alert,High,8.6,2026/01/07
342,15789974,Fraud Alert,Critical,1.7,2026/06/26
343,15702566,Fraud Alert,Medium,32.0,2026/07/04
344,15602845,Loan Query,Low,75.7,2025/09/23
345,15581736,Fraud Alert,Medium,,2026/07/17
346,15700813,Card Problem,Critical,2.3,2025/10/14
347,15653620,Card Problem,Critical,3.2,2026/04/05
348,15670345,Card Problem,High,10.5,2026/08/05
349,15811261,Account Update,Low,,2026/06/28
350,15573171,App Bug,High,11.1,2026/06/19
351,15777923,Login Issue,Medium,15.5,2026/05/28
352,15772573,Payment Failure,Low,74.0,2026/02/11
353,15771222,Complaint,Critical,2.5,2026/01/14
354,15726403,Card Problem,Critical,1.8,2025/12/16
355,15612418,App Bug,High,4.9,2026/08/11
356,15744398,,medium,,2026/02/10
357,15671804,Account Update,Critical,1.3,2026/01/03
358,15625905,Fraud Alert,Critical,1.8,2026/01/16
359,15720155,App Bug,Low,107.1,2026/03/24
360,15790093,Payment Failure,High,6.4,2025/11/09
361,15659677,Loan Query,Medium,20.9,2026/08/12
362,15672894,Complaint,Low,72.9,2026/07/30
363,15801767,Card Problem,Low,47.3,2026/02/03
364,15664793,Payment Failure,Medium,18.1,2026/04/25
365,15739847,Fraud Alert,Medium,25.2,2026/02/11
366,15626474,Login Issue,Low,-5.0,2025/10/10
367,15806918,Loan Query,Medium,35.3,2025/09/07
368,15578156,Card Problem,Medium,33.0,2026/04/25
369,15591932,Card Problem,Critical,2.2,2026/07/18
370,15626412,Loan Query,High,8.6,2026/06/18
371,15706587,loginn issue,Low,44.5,2025/10/24
372,15622774,Payment Failure,Low,102.6,2025/10/10
373,15622442,Loan Query,Medium,32.1,2026/06/05
374,15669516,Complaint,Medium,12.5,2025/12/21
375,15759555,Card Problem,High,,2026/05/20
376,15788151,Login Issue,medium,32.9,2026/01/16
377,15761497,App Bug,High,9.2,2025/11/09
378,15679963,Payment Failure,Medium,,2026/02/28
379,15756472,Fraud Alert,Medium,62.9,2025/10/08
380,15723411,App Bug,High,7.4,2026/01/06
381,15789924,Fraud Alert,Medium,34.9,2026/03/11
382,15760121,Card Problem,High,1.5,2026/01/26
383,15783026,Login Issue,Medium,23.1,2025/11/22
384,15789974,Fraud Alert,Critical,1.7,2026/04/15
385,15566380,Fraud Alert,Medium,13.6,2026/06/08
386,15575445,Complaint,Medium,12.3,2026/08/29
387,15656822,App Bug,Low,94.8,2026/02/04
388,15799641,Account Update,High,3.7,2026/07/13
389,15780220,Account Update,Low,112.9,2026/08/03
390,15699257,Login Issue,Low  ,40.0,2026/05/31
391,15776939,Login Issue,Low,34.6,2025/09/07
392,15704250,Loan Query,High,,2026/08/10
393,15663161,,Medium,28.5,2026/06/13
394,15701768,App Bug,Medium,23.2,2026/02/03
395,15693817,App Bug,Low,67.7,2026/08/08
396,15574206,Loan Query,Low,86.0,2025/10/26
397,15640074,Account Update,High,8.6,2025/11/10
398,15605622,App Bug,Medium,7.2,2026/01/16
399,15786170,App Bug,LOW,48.7,2025/11/01
400,15599124,Fraud Alert,Critical,1.0,2025/10/27
401,15579131,Complaint,High,3.9,2026/06/13
402,15785490,Card Problem,Medium,37.4,2025/11/21
403,15692002,App Bug,High,1.9,2026/01/20
404,15569571,Login Issue,Low,81.8,2026/01/25
405,15602844,Payment Failure,Low,70.8,2026/07/09
406,15634719,App Bug,Medium,23.4,2025/12/19
407,15634310,Account Update,High,6.5,2026/02/25
408,15683276,Account Update,Medium,30.2,2025/12/16
409,15664849,Fraud Alert,Critical,0.5,2026/08/20
410,15736043,Card Problem,Critical,1.6,2026/07/24
411,15790846,Complaint,Low,54.4,2026/01/16
412,15718242,Login Issue,Critical,3.5,2026/05/19
413,15724336,loginn issue,Medium,25.4,2026/05/11
414,15798975,Fraud Alert,Low,52.2,2026/01/09
415,15577751,Login Issue,High  ,6.0,2025/09/29
416,15755863,Complaint,Low,0.5,2025/10/20
417,15759537,Payment Failure,Low,99999.0,2026/07/24
418,15633141,Login Issue,Medium,9.5,2026/04/07
419,15624866,Complaint,High,-5.0,2026/01/22
420,15666197,Payment Failure,low,60.2,2025/09/25
421,15567923,Login Issue,Low,,2025/09/04
422,15701318,Account Update,Medium,18.1,2026/02/20
423,15654519,Complaint,Low,86.8,2025/11/08
424,15704910,Complaint,Low,55.7,2026/07/26
425,15781495,App Bug,Critical,3.7,2026/01/15
426,15714397,Fraud Alert,Low,60.1,2025/11/24
427,15723950,Loan Query,Low,65.0,2026/04/17
428,15737782,Fraud Alert,Critical,2.4,2026/06/12
429,15609643,Payment Failure,Low,40.3,2026/08/30
430,15599660,Loan Query,Low,72.0,2026/04/09
431,15757897,Card Problem,Critical,2.6,2026/06/17
432,15642291,Loan Query,High,4.4,2025/09/07
433,15592765,Account Update,Medium,21.2,2025/10/30
434,15713949,Fraud Alert,Critical  ,2.0,2025/10/11
435,15772423,Card Problem,Low,74.8,2026/08/22
436,15791700,Payment Failure,High,4.1,2025/11/18
437,15592877,Fraud Alert,Low,85.5,2026/06/09
438,15634375,App Bug,Low,57.2,2025/09/21
439,15710687,Account Update,Low,88.2,2026/03/11
440,15794874,Card Problem,Medium,31.4,2026/06/28
441,15808566,Loan Query,Critical,2.3,2026/06/12
442,15713596,Complaint,Medium,26.8,2025/11/17
443,15678201,Loan Query,Low,,2026/04/11
444,15631813,Loan Query,Low,48.0,2025/11/07
445,15765650,App Bug,Low,29.2,2025/09/24
446,15657139,Fraud Alert,Medium,17.1,2026/02/07
447,15682355,App Bug,Low,,2026/03/08
448,15691950,App Bug,Medium,30.4,2025/09/23
449,15602405,Fraud Alert,Medium,22.5,2026/03/05
450,15624695,Payment Failure,Critical,,2025/12/19
451,15684645,Login Issue,Low,55.4,2026/08/18
452,15630580,Fraud Alert,Low,41.0,2026/01/08
453,15592583,Fraud Alert,Medium,31.2,2026/08/10
454,15682778,Account Update,Low,48.5,2025/10/25
455,15736078,Login Issue,Low,50.2,2026/03/03
456,15789874,App Bug,Low,16.5,2026/06/16
457,15759684,Account Update,Critical,1.4,2026/03/30
458,15756167,Fraud Alert,Low,86.4,2026/07/17
459,15695280,Fraud Alert,Low  ,79.9,2025/11/21
460,15704770,Loan Query,High,4.9,2026/01/02
461,15724402,Complaint,Medium,19.8,2025/11/25
462,15658987,Complaint, Critical ,1.2,2025/12/02
463,15598940,Login Issue,High,6.6,2026/04/02
464,15660155,Login Issue,Medium,34.1,2025/09/15
465,15815316,Loan Query,Medium,28.8,2025/12/03
466,15569079,App Bug,High,9.6,2026/02/20
467,15797227,,Low,90.4,2026/04/01
468,15739803,Account Update,Medium,34.5,2026/08/11
469,15566292,Fraud Alert,High,6.2,2026/01/08
470,15607263,Loan Query,Medium,35.0,2026/01/17
471,15793856,Loan Query,High,6.1,2025/11/23
472,15675926,loginn issue,High,5.2,2026/08/28
473,15609070,Login Issue,Low,101.3,2025/10/28
474,15771855,Fraud Alert,Low,131.1,2026/03/17
475,15711316,Account Update,Critical,0.8,2025/09/22
476,15804814,Fraud Alert,Low,97.7,2026/05/01
477,15656249,Card Problem,Low,84.3,2025/12/25
478,15752342,Complaint,Low,105.5,2025/12/14
479,15694404,Account Update,Medium,33.4,2026/04/26
480,15595162,Login Issue,Low,84.6,2026/03/01
481,15765982,,Low,70.8,2026/02/06
482,15600583,Card Problem,Low,128.4,2025/12/28
483,15702298,App Bug,Low,,2025/12/26
484,15630580,Account Update,High,5.8,2025/09/15
485,15745844,Card Problem,Low,21.6,2026/08/06
486,15738181,Login Issue,Low,72.8,2025/12/10
487,15607560,Payment Failure,High,9.9,2026/03/26
488,15598044,Card Problem,Critical,1.3,2026/02/18
489,15763874,Card Problem,Critical,3.4,2026/01/23
490,15594039,Card Problem,Low,84.9,2025/10/08
491,15801701,App Bug,Medium,28.9,2026/01/23
492,15569807,Payment Failure,Low,76.7,2026/03/01
493,15617052,Payment Failure,Medium,18.1,2026/07/28
494,15612109,Account Update,Low,21.9,2026/05/21
495,15684358,Card Problem,Critical,1.5,2026/03/26
496,15601030,Loan Query,Critical,1.3,2026/08/16
497,15755678,,Low,60.7,2026/06/04
498,15619045,Loan Query,Medium,25.2,2026/02/19
499,15791513,Card Problem,High,1.8,2025/09/17
500,15700046,loginn issue,Critical,2.9,2025/11/01
501,15681956,Login Issue,High,2.5,2026/01/14
502,15721462,Payment Failure,Low,81.7,2025/12/03
503,15698028,Login Issue,High,2.7,2026/06/27
504,15614813,Payment Failure,Medium,-5.0,2026/01/16
505,15803654,Fraud Alert,Low,54.1,2025/09/22
506,15672966,Card Problem,Medium,25.5,2025/10/28
507,15598275,Login Issue,Low,49.7,2026/07/05
508,15785373,Card Problem,Medium,41.3,2026/04/13
509,15642022,Account Update,High,3.2,2026/02/26
510,15812071,Fraud Alert,Low,104.1,2026/02/10
511,15659495,App Bug,Low,49.6,2026/04/14
512,15676869,Fraud Alert,High,10.0,2026/07/10
513,15746553,Account Update,High,7.4,2026/05/22
514,15781530,Payment Failure,Low,43.5,2025/11/01
515,15614834,App Bug,High,7.2,2026/03/19
516,15693690,,Medium,13.6,2026/06/25
517,15774507,Complaint,Medium,20.4,2025/12/09
518,15725997,Card Problem,Medium,27.0,2026/01/11
519,15769902,Loan Query,High,7.8,2025/09/25
520,15581700,Card Problem,Medium,23.5,2026/08/31
521,15617982,Complaint,Medium,28.0,2026/04/14
522,15742297,Fraud Alert,Low,56.6,2025/09/03
523,15763798,Payment Failure,Medium,34.3,2026/05/27
524,15661275,Fraud Alert,Medium,26.0,2026/06/05
525,15613786,Login Issue,Low,4.5,2026/08/20
526,15580682,Loan Query,Medium,26.7,2026/08/12
527,15791326,,Medium,19.6,2025/12/12
528,15593014,,Critical,2.0,2026/03/08
529,15683503,Fraud Alert,High,10.2,2026/04/11
530,15617454,Login Issue, Critical ,2.0,2025/10/08
531,15780088,Account Update,Low,71.1,2026/08/09
532,15734917,Fraud Alert,High,7.3,2026/02/19
533,15649292,Complaint,Low,89.1,2026/07/19
534,15616630,Loan Query,Low,85.2,2026/02/10
535,15731026,Complaint,LOW,99999.0,2026/08/08
536,15666982,Login Issue,High,4.4,2025/11/05
